Team,Player,Position,Experience
ATL,De'Andre Hunter,SF,R
ATL,Trae Young,PG,1
ATL,Vince Carter,SF,21
ATL,Cam Reddish,SF,R
ATL,Kevin Huerter,SG,1
ATL,Bruno Fernando,C,R
ATL,Damian Jones,C,3
ATL,DeAndre' Bembry,SG,3
ATL,John Collins,PF,2
ATL,Brandon Goodwin,PG,1
ATL,Jeff Teague,PG,10
ATL,Treveon Graham,SG,3
ATL,Dewayne Dedmon,C,6
ATL,Charlie Brown  (TW),SG,R
ATL,Clint Capela,C,5
ATL,Skal Labissière,F,3
BOS,Brad Wanamaker,PG,1
BOS,Grant Williams,PF,R
BOS,Semi Ojeleye,PF,2
BOS,Jayson Tatum,PF,2
BOS,Daniel Theis,C,2
BOS,Marcus Smart,SG,5
BOS,Enes Kanter,C,8
BOS,Kemba Walker,PG,8
BOS,Jaylen Brown,SF,3
BOS,Gordon Hayward,SF,9
BOS,Javonte Green,SF,R
BOS,Carsen Edwards,SG,R
BOS,Romeo Langford,SG,R
BOS,Robert Williams,C,1
BOS,Vincent Poirier,C,R
BOS,Tremont Waters  (TW),PG,R
BOS,Tacko Fall  (TW),C,R
BRK,Spencer Dinwiddie,SG,5
BRK,Taurean Prince,SF,3
BRK,Jarrett Allen,C,2
BRK,Joe Harris,SF,5
BRK,DeAndre Jordan,C,11
BRK,Garrett Temple,SG,9
BRK,Caris LeVert,SG,3
BRK,Timothé Luwawu-Cabarrot,SG,3
BRK,Rodions Kurucs,PF,1
BRK,Wilson Chandler,SF,11
BRK,Džanan Musa,SF,1
BRK,Theo Pinson,SG,1
BRK,Kyrie Irving,PG,8
BRK,Nicolas Claxton,PF,R
BRK,Chris Chiozza  (TW),PG,1
BRK,Jeremiah Martin  (TW),PG,R
BRK,Kevin Durant,F-G,12
CHO,Miles Bridges,SF,1
CHO,Devonte' Graham,PG,1
CHO,Terry Rozier,PG,4
CHO,P.J. Washington,PF,R
CHO,Cody Zeller,C,6
CHO,Malik Monk,SG,2
CHO,Bismack Biyombo,C,8
CHO,Cody Martin,SF,R
CHO,Dwayne Bacon,SG,2
CHO,Willy Hernangómez,C,3
CHO,Nicolas Batum,SF,11
CHO,Caleb Martin,SF,R
CHO,Jalen McDaniels,PF,R
CHO,Joe Chealey,PG,1
CHO,Kobi Simmons  (TW),G,2
CHO,Ray Spalding  (TW),F,1
CHI,Coby White,SG,R
CHI,Tomáš Satoranský,PG,3
CHI,Thaddeus Young,PF,12
CHI,Zach LaVine,SG,5
CHI,Ryan Arcidiacono,PG,2
CHI,Kris Dunn,PG,3
CHI,Lauri Markkanen,PF,2
CHI,Wendell Carter Jr.,C,1
CHI,Daniel Gafford,C,R
CHI,Shaquille Harrison,SF,2
CHI,Denzel Valentine,SF,2
CHI,Luke Kornet,C,2
CHI,Chandler Hutchison,SF,1
CHI,Cristiano Felício,PF,4
CHI,Otto Porter,SF,6
CHI,Adam Mokoka  (TW),SG,R
CHI,Max Strus  (TW),SG,R
CLE,Collin Sexton,SG,1
CLE,Cedi Osman,SF,2
CLE,Darius Garland,PG,R
CLE,Tristan Thompson,C,8
CLE,Matthew Dellavedova,PG,6
CLE,Kevin Love,PF,11
CLE,Larry Nance Jr.,C,4
CLE,Kevin Porter Jr.,SF,R
CLE,Alfonzo McKinnie,SF,2
CLE,Dante Exum,SG,4
CLE,Ante Žižić,C,2
CLE,Dean Wade  (TW),PF,R
CLE,Andre Drummond,C,7
CLE,Matt Mooney  (TW),SG,R
CLE,Sir'Dominic Pointer,G-F,R
CLE,Sheldon Mac,G,1
CLE,Dylan Windler,G-F,R
DAL,Maxi Kleber,C,2
DAL,Delon Wright,SG,4
DAL,Dorian Finney-Smith,PF,3
DAL,Tim Hardaway Jr.,SG,6
DAL,Seth Curry,SG,5
DAL,Justin Jackson,PF,2
DAL,Jalen Brunson,PG,1
DAL,Luka Dončić,PG,1
DAL,Kristaps Porziņģis,PF,3
DAL,Dwight Powell,C,5
DAL,Boban Marjanović,C,4
DAL,J.J. Barea,PG,13
DAL,Courtney Lee,SG,11
DAL,Willie Cauley-Stein,C,4
DAL,Michael Kidd-Gilchrist,SF,7
DAL,Antonius Cleveland  (TW),SG,1
DAL,Josh Reaves  (TW),SG,R
DEN,Nikola Jokić,C,4
DEN,Monte Morris,PG,2
DEN,Jerami Grant,PF,5
DEN,Will Barton,SF,7
DEN,Gary Harris,SG,5
DEN,Jamal Murray,PG,3
DEN,Mason Plumlee,C,6
DEN,Torrey Craig,SF,2
DEN,Michael Porter Jr.,PF,R
DEN,Paul Millsap,PF,13
DEN,PJ Dozier  (TW),PG,2
DEN,Vlatko Čančar,SF,R
DEN,Noah Vonleh,PF,5
DEN,Keita Bates-Diop,SF,1
DEN,Troy Daniels,SG,6
DEN,Bol Bol  (TW),C,R
DET,Langston Galloway,SG,5
DET,Christian Wood,PF,3
DET,Thon Maker,C,3
DET,Tony Snell,SF,6
DET,Bruce Brown,SG,1
DET,Sviatoslav Mykhailiuk,SF,1
DET,Derrick Rose,PG,10
DET,Sekou Doumbouya,SF,R
DET,Luke Kennard,SG,2
DET,Blake Griffin,PF,9
DET,John Henson,PF,7
DET,Louis King  (TW),SF,R
DET,Jordan Bone  (TW),PG,R
DET,Brandon Knight,PG,7
DET,Khyri Thomas,SG,1
DET,Jordan McRae,SG,3
GSW,Eric Paschall,PF,R
GSW,Marquese Chriss,PF,3
GSW,Jordan Poole,SG,R
GSW,Damion Lee,SG,2
GSW,Ky Bowman,PG,R
GSW,Draymond Green,PF,7
GSW,Kevon Looney,C,4
GSW,Alen Smailagić,PF,R
GSW,Juan Toscano-Anderson,SF,R
GSW,Andrew Wiggins,SG,5
GSW,Dragan Bender,SF,3
GSW,Mychal Mulder,SG,R
GSW,Stephen Curry,PG,10
GSW,Chasson Randle,PG,2
GSW,Klay Thompson,G-F,8
HOU,P.J. Tucker,PF,8
HOU,Ben McLemore,SG,6
HOU,James Harden,SG,10
HOU,Austin Rivers,SG,7
HOU,Danuel House,SF,3
HOU,Russell Westbrook,PG,11
HOU,Thabo Sefolosha,PF,13
HOU,Eric Gordon,SG,11
HOU,Chris Clemons,SG,R
HOU,Tyson Chandler,C,18
HOU,Isaiah Hartenstein,C,1
HOU,Robert Covington,PF,6
HOU,Jeff Green,PF,11
HOU,Michael Frazier  (TW),SG,R
HOU,DeMarre Carroll,SF,10
HOU,Bruno Caboclo,SF,5
HOU,William Howard  (TW),SG,R
IND,Justin Holiday,SG,6
IND,T.J. McConnell,PG,4
IND,Domantas Sabonis,C,3
IND,Doug McDermott,PF,5
IND,T.J. Warren,SF,5
IND,Aaron Holiday,PG,1
IND,Myles Turner,C,4
IND,Goga Bitadze,C,R
IND,Malcolm Brogdon,PG,3
IND,Jeremy Lamb,SG,7
IND,JaKarr Sampson,SF,4
IND,Edmond Sumner,PG,2
IND,T.J. Leaf,PF,2
IND,Victor Oladipo,SG,6
IND,Alize Johnson,SF,1
IND,Brian Bowen  (TW),SG,R
IND,Naz Mitrou-Long  (TW),SG,2
LAC,Ivica Zubac,C,3
LAC,Montrezl Harrell,C,4
LAC,Lou Williams,SG,14
LAC,JaMychal Green,PF,5
LAC,Kawhi Leonard,SF,8
LAC,Patrick Patterson,PF,9
LAC,Rodney McGruder,SG,3
LAC,Patrick Beverley,PG,7
LAC,Landry Shamet,SG,1
LAC,Paul George,SF,9
LAC,Terance Mann,SG,R
LAC,Johnathan Motley  (TW),PF,2
LAC,Amir Coffey  (TW),SG,R
LAC,Marcus Morris,PF,8
LAC,Mfiondu Kabengele,C,R
LAC,Reggie Jackson,PG,8
LAC,Joakim Noah,C,12
LAL,Kentavious Caldwell-Pope,SG,6
LAL,Dwight Howard,C,15
LAL,Danny Green,SG,10
LAL,JaVale McGee,C,11
LAL,LeBron James,PG,16
LAL,Alex Caruso,PG,2
LAL,Anthony Davis,PF,7
LAL,Kyle Kuzma,PF,2
LAL,Avery Bradley,SG,9
LAL,Rajon Rondo,PG,13
LAL,Jared Dudley,SF,12
LAL,Quinn Cook,PG,3
LAL,Markieff Morris,PF,8
LAL,Kostas Antetokounmpo  (TW),PF,1
LAL,Talen Horton-Tucker,SG,R
LAL,Devontae Cacok  (TW),F,R
LAL,Dion Waiters,G,7
MEM,Dillon Brooks,SG,2
MEM,Tyus Jones,PG,4
MEM,Jonas Valančiūnas,C,7
MEM,Ja Morant,PG,R
MEM,Kyle Anderson,PF,5
MEM,Jaren Jackson Jr.,C,1
MEM,De'Anthony Melton,PG,1
MEM,Brandon Clarke,PF,R
MEM,Marko Guduric,SG,R
MEM,Grayson Allen,SG,1
MEM,Josh Jackson,SG,2
MEM,Yuta Watanabe  (TW),SG,1
MEM,John Konchar  (TW),SG,R
MEM,Gorgui Dieng,C,6
MEM,Justise Winslow,F,4
MEM,Jontay Porter,F-C,R
MIA,Bam Adebayo,PF,2
MIA,Duncan Robinson,SF,1
MIA,Kendrick Nunn,SG,R
MIA,Kelly Olynyk,C,6
MIA,Jimmy Butler,SF,8
MIA,Goran Dragić,PG,11
MIA,Derrick Jones Jr.,SF,3
MIA,Meyers Leonard,C,7
MIA,Tyler Herro,SG,R
MIA,Chris Silva,PF,R
MIA,Andre Iguodala,SG,15
MIA,Jae Crowder,SF,7
MIA,Solomon Hill,SF,6
MIA,Gabe Vincent  (TW),PG,R
MIA,KZ Okpala,SF,R
MIA,Udonis Haslem,PF,16
MIA,Kyle Alexander  (TW),F,R
MIL,Wesley Matthews,SG,10
MIL,Brook Lopez,C,11
MIL,Pat Connaughton,SG,4
MIL,Robin Lopez,C,11
MIL,Donte DiVincenzo,SG,1
MIL,Giannis Antetokounmpo,PF,6
MIL,Eric Bledsoe,PG,9
MIL,Ersan İlyasova,PF,11
MIL,Khris Middleton,SF,7
MIL,George Hill,PG,11
MIL,Kyle Korver,SF,16
MIL,Sterling Brown,SF,2
MIL,D.J. Wilson,PF,2
MIL,Thanasis Antetokounmpo,SF,1
MIL,Marvin Williams,PF,14
MIL,Frank Mason III  (TW),PG,2
MIL,Cameron Reynolds  (TW),G,1
MIN,Jarrett Culver,SG,R
MIN,Josh Okogie,SG,1
MIN,Karl-Anthony Towns,C,4
MIN,Kelan Martin  (TW),SF,R
MIN,Naz Reid,C,R
MIN,Jordan McLaughlin  (TW),PG,R
MIN,Jake Layman,PF,3
MIN,Jaylen Nowell,SG,R
MIN,Malik Beasley,SG,3
MIN,Juan Hernangómez,PF,3
MIN,James Johnson,PF,10
MIN,D'Angelo Russell,PG,4
MIN,Jarred Vanderbilt,PF,1
MIN,Jacob Evans,SG,1
MIN,Evan Turner,G,9
MIN,Omari Spellman,F,1
NOP,Josh Hart,SF,2
NOP,Brandon Ingram,PF,3
NOP,Lonzo Ball,PG,2
NOP,Jaxson Hayes,C,R
NOP,Jrue Holiday,SG,10
NOP,J.J. Redick,SG,13
NOP,Nicolò Melli,C,R
NOP,E'Twaun Moore,SG,8
NOP,Frank Jackson,PG,1
NOP,Derrick Favors,C,9
NOP,Nickeil Alexander-Walker,SG,R
NOP,Kenrich Williams,PF,1
NOP,Jahlil Okafor,C,4
NOP,Zion Williamson,PF,R
NOP,Zylan Cheatham  (TW),SF,R
NOP,Josh Gray  (TW),PG,1
NOP,Darius Miller,F,5
NYK,Bobby Portis,C,4
NYK,Kevin Knox,SF,1
NYK,Julius Randle,PF,5
NYK,Taj Gibson,C,10
NYK,Mitchell Robinson,C,1
NYK,Frank Ntilikina,PG,2
NYK,RJ Barrett,SG,R
NYK,Damyean Dotson,SG,2
NYK,Elfrid Payton,PG,5
NYK,Wayne Ellington,SG,10
NYK,Dennis Smith Jr.,PG,2
NYK,Reggie Bullock,SG,6
NYK,Allonzo Trier,PG,1
NYK,Maurice Harkless,SF,7
NYK,Kadeem Allen  (TW),SG,2
NYK,Ignas Brazdeikis,SF,R
NYK,Kenny Wooten  (TW),F,R
OKC,Shai Gilgeous-Alexander,SG,1
OKC,Dennis Schröder,PG,6
OKC,Chris Paul,PG,14
OKC,Steven Adams,C,6
OKC,Danilo Gallinari,PF,10
OKC,Nerlens Noel,C,5
OKC,Darius Bazley,PF,R
OKC,Terrance Ferguson,SF,2
OKC,Abdel Nader,SF,2
OKC,Mike Muscala,C,6
OKC,Hamidou Diallo,SF,1
OKC,Deonte Burton,SG,1
OKC,Luguentz Dort  (TW),SG,R
OKC,Kevin Hervey  (TW),PF,R
OKC,Isaiah Roby,SF,R
OKC,Andre Roberson,G-F,5
ORL,Markelle Fultz,PG,2
ORL,Terrence Ross,SG,7
ORL,Evan Fournier,SG,7
ORL,Mo Bamba,C,1
ORL,Aaron Gordon,PF,5
ORL,Nikola Vučević,C,8
ORL,D.J. Augustin,PG,11
ORL,Wesley Iwundu,SF,2
ORL,Michael Carter-Williams,SG,6
ORL,Khem Birch,C,2
ORL,Jonathan Isaac,SF,2
ORL,Al-Farouq Aminu,PF,9
ORL,Gary Clark,PF,1
ORL,Melvin Frazier,SG,1
ORL,James Ennis,SF,5
ORL,B.J. Johnson  (TW),SF,1
ORL,Vic Law  (TW),SF,R
PHI,Tobias Harris,PF,8
PHI,Furkan Korkmaz,SG,2
PHI,Mike Scott,PF,7
PHI,Al Horford,C,12
PHI,Matisse Thybulle,SG,R
PHI,Ben Simmons,PG,2
PHI,Raul Neto,PG,4
PHI,Josh Richardson,SG,4
PHI,Joel Embiid,C,3
PHI,Shake Milton,SG,1
PHI,Kyle O'Quinn,C,7
PHI,Norvel Pelle,C,R
PHI,Glenn Robinson III,SF,5
PHI,Alec Burks,SG,8
PHI,Zhaire Smith,SG,1
PHI,Marial Shayok  (TW),SG,R
PHO,Mikal Bridges,SF,1
PHO,Devin Booker,SG,4
PHO,Dario Šarić,PF,3
PHO,Ricky Rubio,PG,8
PHO,Kelly Oubre Jr.,SF,4
PHO,Elie Okobo,PG,1
PHO,Jevon Carter,PG,1
PHO,Cameron Johnson,PF,R
PHO,Cheick Diallo,C,3
PHO,Aron Baynes,C,7
PHO,Frank Kaminsky,C,4
PHO,Deandre Ayton,C,1
PHO,Ty Jerome,PG,R
PHO,Jalen Lecque,PG,R
PHO,Tariq Owens  (TW),PF,R
PHO,Jared Harper  (TW),PG,R
POR,Anfernee Simons,SG,1
POR,CJ McCollum,SG,6
POR,Hassan Whiteside,C,7
POR,Damian Lillard,PG,7
POR,Gary Trent Jr.,SG,1
POR,Carmelo Anthony,PF,16
POR,Nassir Little,PF,R
POR,Mario Hezonja,PF,4
POR,Trevor Ariza,SF,15
POR,Rodney Hood,SF,5
POR,Caleb Swanigan,PF,2
POR,Wenyen Gabriel,PF,R
POR,Jaylen Hoard  (TW),SF,R
POR,Moses Brown  (TW),C,R
POR,Zach Collins,PF,2
POR,Jusuf Nurkić,C,5
SAC,Buddy Hield,SG,3
SAC,Harrison Barnes,PF,7
SAC,Nemanja Bjelica,PF,4
SAC,Cory Joseph,PG,8
SAC,Bogdan Bogdanović,SG,2
SAC,De'Aaron Fox,PG,2
SAC,Yogi Ferrell,PG,3
SAC,Richaun Holmes,C,4
SAC,Harry Giles,PF,1
SAC,Justin James,SG,R
SAC,Kent Bazemore,SG,7
SAC,Marvin Bagley III,PF,1
SAC,Alex Len,C,6
SAC,DaQuan Jeffries  (TW),SG,R
SAC,Kyle Guy  (TW),SG,R
SAC,Jabari Parker,PF,5
SAS,Patty Mills,PG,10
SAS,Bryn Forbes,SG,3
SAS,Trey Lyles,PF,4
SAS,DeMar DeRozan,SF,10
SAS,Derrick White,SG,2
SAS,Rudy Gay,PF,13
SAS,Dejounte Murray,PG,2
SAS,Jakob Pöltl,C,3
SAS,LaMarcus Aldridge,C,13
SAS,Lonnie Walker,SG,1
SAS,Marco Belinelli,SG,12
SAS,Chimezie Metu,PF,1
SAS,Drew Eubanks  (TW),PF,1
SAS,Keldon Johnson,SF,R
SAS,Quinndary Weatherspoon  (TW),SG,R
SAS,Luka Šamanić,PF,R
TOR,Terence Davis,SG,R
TOR,OG Anunoby,SF,2
TOR,Chris Boucher,PF,2
TOR,Pascal Siakam,PF,3
TOR,Kyle Lowry,PG,13
TOR,Rondae Hollis-Jefferson,SF,4
TOR,Serge Ibaka,C,10
TOR,Fred VanVleet,PG,3
TOR,Norman Powell,SG,4
TOR,Patrick McCaw,SF,3
TOR,Marc Gasol,C,11
TOR,Matt Thomas,SG,R
TOR,Malcolm Miller,SF,2
TOR,Stanley Johnson,PF,4
TOR,Oshae Brissett  (TW),SF,R
TOR,Dewan Hernandez,C,R
TOR,Paul Watson  (TW),SF,R
UTA,Joe Ingles,SF,5
UTA,Royce O'Neale,PF,2
UTA,Donovan Mitchell,SG,2
UTA,Bojan Bogdanović,SF,5
UTA,Rudy Gobert,C,6
UTA,Georges Niang,PF,3
UTA,Tony Bradley,C,2
UTA,Emmanuel Mudiay,PG,4
UTA,Mike Conley,PG,12
UTA,Jordan Clarkson,SG,5
UTA,Ed Davis,C,9
UTA,Juwan Morgan,PF,R
UTA,Rayjon Tucker,SG,R
UTA,Nigel Williams-Goss,PG,R
UTA,Miye Oni,SG,R
UTA,Jarrell Brantley  (TW),PF,R
UTA,Justin Wright-Foreman  (TW),PG,R
WAS,Troy Brown Jr.,SG,1
WAS,Ish Smith,PG,9
WAS,Isaac Bonga,SF,1
WAS,Bradley Beal,SG,7
WAS,Dāvis Bertāns,PF,3
WAS,Rui Hachimura,PF,R
WAS,Thomas Bryant,C,2
WAS,Ian Mahinmi,C,11
WAS,Moritz Wagner,C,1
WAS,Gary Payton II,PG,3
WAS,Admiral Schofield,SF,R
WAS,Anžejs Pasečņiks,C,R
WAS,Garrison Mathews  (TW),SG,R
WAS,Shabazz Napier,PG,5
WAS,Jerome Robinson,SG,1
WAS,Johnathan Williams  (TW),C,1
WAS,John Wall,G,9
